date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:48	46869/46869	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:22%20GMT	https://madebydesignesia.com/themes/stradale/index.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/index.html	(from )
14:09:48	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2011:09:47%20GMT	https://madebydesignesia.com/robots.txt		(from )
14:09:49	375/375	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jun%202023%2004:56:44%20GMT	https://madebydesignesia.com/themes/stradale/images/icon.png	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/images/icon.png	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:49	155845/155845	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2004:56:44%20GMT	https://madebydesignesia.com/themes/stradale/css/bootstrap.min.css	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/css/bootstrap.min.css	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:50	294653/294653	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2004:56:44%20GMT	https://madebydesignesia.com/themes/stradale/css/mdb.min.css	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/css/mdb.min.css	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:50	74934/74934	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2004:56:44%20GMT	https://madebydesignesia.com/themes/stradale/css/plugins.css	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/css/plugins.css	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:51	286882/286882	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2004:56:44%20GMT	https://madebydesignesia.com/themes/stradale/css/style.css	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/css/style.css	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:51	11712/11712	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2004:56:44%20GMT	https://madebydesignesia.com/themes/stradale/css/coloring.css	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/css/coloring.css	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:51	77/77	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2004:56:44%20GMT	https://madebydesignesia.com/themes/stradale/css/colors/scheme-01.css	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/css/colors/scheme-01.css	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:51	3102/3102	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jun%202023%2004:56:44%20GMT	https://madebydesignesia.com/themes/stradale/images/logo.png	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/images/logo.png	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:52	41638/41638	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:22%20GMT	https://madebydesignesia.com/themes/stradale/index-2.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/index-2.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:52	30931/30931	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:22%20GMT	https://madebydesignesia.com/themes/stradale/index-3.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/index-3.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:52	39683/39683	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:23%20GMT	https://madebydesignesia.com/themes/stradale/02_index.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/02_index.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:52	25614/25614	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:23%20GMT	https://madebydesignesia.com/themes/stradale/02_index-2.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/02_index-2.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:53	25723/25723	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:22%20GMT	https://madebydesignesia.com/themes/stradale/menu.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/menu.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:53	19860/19860	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:23%20GMT	https://madebydesignesia.com/themes/stradale/02_menu-1.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/02_menu-1.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:53	14284/14284	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:23%20GMT	https://madebydesignesia.com/themes/stradale/02_menu-2.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/02_menu-2.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:53	13895/13895	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:22%20GMT	https://madebydesignesia.com/themes/stradale/reservation.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/reservation.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:54	15329/15329	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:23%20GMT	https://madebydesignesia.com/themes/stradale/blog.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/blog.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:54	12423/12423	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:23%20GMT	https://madebydesignesia.com/themes/stradale/gallery.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/gallery.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:54	84614/84614	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:23%20GMT	https://madebydesignesia.com/themes/stradale/icons-elegant.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/icons-elegant.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:54	28657/28657	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:22%20GMT	https://madebydesignesia.com/themes/stradale/icons-etline.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/icons-etline.html	(from https://madebydesignesia.com/themes/stradale/index.html)
14:09:55	341196/341196	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202024%2009:12:22%20GMT	https://madebydesignesia.com/themes/stradale/icons-font-awesome.html	C:/Users/Erpa/Desktop/BeutyFuar/digital/madebydesignesia.com/themes/stradale/icons-font-awesome.html	(from https://madebydesignesia.com/themes/stradale/index.html)
